bom_id,title,total_gross,theaters,release_date,year
rl23561729,A Night in Heaven,5563663,901,1983-11-18,1983
rl1265862145,The Star Chamber,5555305,796,1983-08-05,1983
rl3379856897,To Be or Not to Be,13030214,645,1983-12-16,1983
rl1801618945,Metalstorm: The Destruction of Jared-Syn,5301085,784,1983-08-19,1983
rl73893377,Nightmares,6670680,1025,1983-09-02,1983
rl2053342721,The Man Who Loved Women,10964231,845,1983-12-16,1983
rl1081705985,Vigilante,5091888,250,1983-03-04,1983
rl491881985,Eddie and the Cruisers,4786789,475,1983-09-23,1983
rl3930949121,Curse of the Pink Panther,4491986,812,1983-08-12,1983
rl1080395265,Mortuary,4319001,146,1983-09-02,1983
rl2641856001,Trenchcoat,4304286,723,1983-03-11,1983
rl3011151361,Yellowbeard,4300000,761,1983-06-24,1983
rl844924417,The Keep,4218594,508,1983-12-16,1983
rl3193800193,Joysticks,3952448,310,1983-03-04,1983
rl1600030209,Let's Spend the Night Together,3821199,475,1983-02-11,1983
rl963610113,Running Brave,3000000,440,1983-11-04,1983
rl2656339457,The Golden Seal,6666725,435,1983-08-19,1983
rl2591720961,"Yor, the Hunter from the Future",2810199,1425,1983-08-19,1983
rl3042149889,The Final Option,2666873,338,1983-09-16,1983
rl3109848577,The King of Comedy,2536242,76,1983-02-18,1983
rl3429664257,Rumble Fish,2494480,296,1983-10-08,1983
rl1902347777,The Man Who Wasn't There,2443487,980,1983-08-12,1983
rl2071299585,Table for Five,2439705,181,1983-02-18,1983
rl1752663553,Tough Enough,2433722,538,1983-03-25,1983
rl2103674369,"Man, Woman and Child",2314561,350,1983-04-01,1983
rl1601865217,Merry Christmas Mr. Lawrence,2306560,196,1983-08-26,1983
rl1283032577,Videodrome,2120439,600,1983-02-04,1983
rl812942849,Testament,2044892,41,1983-11-04,1983
rl2775090689,Pieces,2032311,104,1983-09-23,1983
rl2523170305,Savage Islands,1963756,925,1983-11-18,1983
rl2068153857,Baby It's You,1867792,30,1983-03-04,1983
rl24282625,Strange Invaders,1362303,274,1983-09-16,1983
rl2623636993,Losin' It,1246141,180,1983-04-08,1983
rl1684112897,The Lonely Lady,1223200,703,1983-09-30,1983
rl3630466561,Never Cry Wolf,29600000,540,1983-10-07,1983
rl3648423425,Of Unknown Origin,1080470,199,1983-11-23,1983
rl3965027841,Getting It On,975414,350,1983-08-19,1983
rl3192227329,American Playhouse: The Ballad of Gregorio Cortez,804963,32,1983-08-19,1983
rl2538833409,Fire and Ice,760883,89,1983-08-26,1983
rl3899164161,The Pirates of Penzance,694497,91,1983-02-18,1983
rl258639361,Puberty Blues,237000,1,1983-07-15,1983
rl3446638081,Screwballs,2082215,128,1983-04-01,1983
rl3696592385,Ghostbusters,229242989,1506,1984-06-08,1984
rl2455471617,Indiana Jones and the Temple of Doom,179870271,1687,1984-05-23,1984
rl3126298113,Gremlins,148168459,1537,1984-06-08,1984
rl3378349569,The Karate Kid,90815558,1111,1984-06-22,1984
rl158041601,Police Academy,81198894,1587,1984-03-23,1984
rl2001896961,Footloose,80035402,1384,1984-02-17,1984
rl3880027649,Beverly Hills Cop,234760478,2006,1984-12-05,1984
rl3010692609,Star Trek III: The Search for Spock,76471046,1966,1984-06-01,1984
rl2792130049,Romancing the Stone,76572238,1110,1984-03-30,1984
rl494110209,Splash,69821334,1186,1984-03-09,1984
rl1533707777,Purple Rain,68392977,1022,1984-07-27,1984
rl2155120129,Tightrope,48143579,1535,1984-08-17,1984
rl2388952577,The Natural,47951979,1012,1984-05-11,1984
rl3210184193,Greystoke,45858563,1175,1984-03-30,1984
rl3563947521,Revenge of the Nerds,40874452,989,1984-07-20,1984
rl1028228609,Breakin',38682707,1121,1984-05-04,1984
rl3628434945,Bachelor Party,38435947,1276,1984-06-29,1984
rl1768785409,Red Dawn,38376497,1822,1984-08-10,1984
rl457410049,All of Me,36403064,1200,1984-09-21,1984
rl3480585729,The Terminator,38371200,1112,1984-10-26,1984
rl3327297025,Friday the 13th: The Final Chapter,32980880,1600,1984-04-13,1984
