bom_id,imdb_id,title,actor_1,actor_2,actor_3,actor_4,director,writer,producer,cinematographer,editor,production_designer,composer
rl3663300097,tt0107131,Homeward Bound: The Incredible Journey (1993),Michael J. Fox,Sally Field,Don Alder,Ed Bernard,Duwayne Dunham,Sheila Burnford|Caroline Thompson|Linda Woolverton,Jeffrey Chernov|Franklin R. Levy,Reed Smoot,Jonathan P. Shaw,Roger Cain,Bruce Broughton
rl2153350657,tt0107120,Hocus Pocus (1993),Bette Midler,Sarah Jessica Parker,Kathy Najimy,Omri Katz,Kenny Ortega,David Kirschner|Mick Garris|Mick Garris|Neil Cuthbert,Steven Haft|David Kirschner,Hiro Narita,Peter E. Berger,William Sandell,John Debney
rl4101539329,tt0108551,What's Love Got to Do with It (1993),Angela Bassett,Laurence Fishburne,RaéVen Kelly,Virginia Capers,Brian Gibson,Tina Turner|Kurt Loder|Kate Lanier,Doug Chapin|Barry Krost,Jamie Anderson,Stuart H. Pappé,Stephen Altman,Stanley Clarke
rl2387641857,tt0106856,Falling Down (1993),Michael Douglas,Robert Duvall,Barbara Hershey,Rachel Ticotin,Joel Schumacher,Ebbe Roe Smith,Timothy Harris|Arnold Kopelson|Herschel Weingrod,Andrzej Bartkowiak,Paul Hirsch,Barbara Ling,James Newton Howard
rl123241985,tt0107144,Hot Shots! Part Deux (1993),Charlie Sheen,Lloyd Bridges,Valeria Golino,Richard Crenna,Jim Abrahams,Jim Abrahams|Pat Proft|Jim Abrahams|Pat Proft,Bill Badalato,John R. Leonetti,Malcolm Campbell,William A. Elliott,Basil Poledouris
rl1346930177,tt0106519,Carlito's Way (1993),Al Pacino,Sean Penn,Penelope Ann Miller,John Leguizamo,Brian De Palma,Edwin Torres|David Koepp,Martin Bregman|Michael Bregman|Willi Bär,Stephen H. Burum,Kristina Boden|Bill Pankow,Richard Sylbert,Patrick Doyle
rl1635288577,tt0108525,Wayne's World 2 (1993),Mike Myers,Dana Carvey,Christopher Walken,Tia Carrere,Stephen Surjik,Mike Myers|Mike Myers|Bonnie Turner|Terry Turner,Lorne Michaels,Francis Kenny,Malcolm Campbell,Gregg Fonseca,Carter Burwell
rl977503745,tt0106246,Alive (1993),Ethan Hawke,Vincent Spano,Josh Hamilton,Bruce Ramsay,Frank Marshall,Piers Paul Read|John Patrick Shanley,Kathleen Kennedy|Robert Watts,Peter James,William Goldenberg|Michael Kahn,Norman Reynolds,James Newton Howard
rl2775614977,tt0108186,Son in Law (1993),Pauly Shore,Carla Gugino,Lane Smith,Cindy Pickett,Steve Rash,Patrick J. Clifton|Susan McMartin|Peter M. Lenkov|Fax Bahr|Adam Small|Shawn Schepps,Peter M. Lenkov|Michael Rotenberg,Peter Deming,Dennis M. Hill,Joseph T. Garrity,Richard Gibbs
rl980452865,tt0108162,Sliver (1993),Sharon Stone,William Baldwin,Tom Berenger,Polly Walker,Phillip Noyce,Ira Levin|Joe Eszterhas,Robert Evans,Vilmos Zsigmond,Richard Francis-Bruce|William Hoy,Paul Sylbert,Howard Shore
